number,content,source
18,"Considering Deployment Challenges: Address security, scalability, and maintainability in real-world systems.Envisioning Future Trends: Reflect on emerging challenges and technologies in machine learning.AI Learning CompanionThroughout this resource, you’ll find SocratiQ—an AI learning assistant designed to enhance your learning experience. Inspired by the Socratic method of teaching, SocratiQ combines interactive quizzes, personalized assistance, and real-time feedback to help you reinfor","About the Book (part 7)"
180,"Success in this evolving landscape requires understanding how application requirements flow down to infrastructure decisions, ensuring systems can grow sustainably while delivering increasingly sophisticated capabilities.","1.8.1 Emerging Trends (part 6)"
181,"The diverse architectures and scales of ML systems demonstrate their potential to revolutionize industries. By examining real-world applications, we can see how these systems address practical challenges and drive innovation. Their ability to operate effectively across varying scales and environments has already led to significant changes in numerous sectors. This section highlights examples where theoretical concepts and practical considerations converge to produce tangible, impactful results.","1.9 Practical Applications"
182,"FarmBeats, a project developed by Microsoft Research, shown in Figure 1.5 is a significant advancement in the application of machine learning to agriculture. This system aims to increase farm productivity and reduce costs by leveraging AI and IoT technologies. FarmBeats exemplifies how edge and embedded ML systems can be deployed in challenging, real-world environments to solve practical problems. By bringing ML capabilities directly to the farm, FarmBeats demonstrates the potential of distribut","1.9.1 FarmBeats: ML in Agriculture (part 1)"
183,"ed AI systems in transforming traditional industries.Figure 1.5: Microsoft FarmBeats: AI, Edge & IoT for Agriculture.Data ConsiderationsThe data ecosystem in FarmBeats is diverse and distributed. Sensors deployed across fields collect real-time data on soil moisture, temperature, and nutrient levels. Drones equipped with multispectral cameras capture high-resolution imagery of crops, providing insights into plant health and growth patterns.","1.9.1 FarmBeats: ML in Agriculture (part 2)"
184,"Weather stations contribute local climate data, while historical farming records offer context for long-term trends. The challenge lies not just in collecting this heterogeneous data, but in managing its flow from dispersed, often remote locations with limited connectivity. FarmBeats employs innovative data transmission techniques, such as using TV white spaces (unused broadcasting frequencies) to extend internet connectivity to far-flung sensors.","1.9.1 FarmBeats: ML in Agriculture (part 3)"
185,"This approach to data collection and transmission embodies the principles of edge computing we discussed earlier, where data processing begins at the source to reduce bandwidth requirements and enable real-time decision making.Algorithmic ConsiderationsFarmBeats uses a variety of ML algorithms tailored to agricultural applications. For soil moisture prediction, it uses temporal neural networks that can capture the complex dynamics of water movement in soil.","1.9.1 FarmBeats: ML in Agriculture (part 4)"
186,"Computer vision algorithms process drone imagery to detect crop stress, pest infestations, and yield estimates. These models must be robust to noisy data and capable of operating with limited computational resources. Machine learning methods such as “transfer learning” allow models to learn on data-rich farms to be adapted for use in areas with limited historical data. The system also incorporates a mixture of methods that combine outputs from multiple algorithms to improve prediction accuracy","1.9.1 FarmBeats: ML in Agriculture (part 5)"
187,"and reliability. A key challenge FarmBeats addresses is model personalization—adapting general models to the specific conditions of individual farms, which may have unique soil compositions, microclimates, and farming practices.Infrastructure ConsiderationsFarmBeats exemplifies the edge computing paradigm we explored in our discussion of the ML system spectrum. At the lowest level, embedded ML models run directly on IoT devices and sensors, performing basic data filtering and anomaly detectio","1.9.1 FarmBeats: ML in Agriculture (part 6)"
188,"n. Edge devices, such as ruggedized field gateways, aggregate data from multiple sensors and run more complex models for local decision-making. These edge devices operate in challenging conditions, requiring robust hardware designs and efficient power management to function reliably in remote agricultural settings. The system employs a hierarchical architecture, with more computationally intensive tasks offloaded to on-premises servers or the cloud.","1.9.1 FarmBeats: ML in Agriculture (part 7)"
189,"This tiered approach allows FarmBeats to balance the need for real-time processing with the benefits of centralized data analysis and model training. The infrastructure also includes mechanisms for over-the-air model updates, ensuring that edge devices can receive improved models as more data becomes available and algorithms are refined.Future ImplicationsFarmBeats shows how ML systems can be deployed in resource-constrained, real-world environments to drive significant improvements in tradi","1.9.1 FarmBeats: ML in Agriculture (part 8)"
19,"ce your understanding and create new connections. As part of our experiment with Generative AI technologies, SocratiQ encourages critical thinking and active engagement with the material.SocratiQ is still a work in progress, and we welcome your feedback to make it better. For more details about how SocratiQ works and how to get the most out of it, visit the AI Learning Companion page.How to Use This BookBook StructureThe book is organized into four main parts, each building on the previous","About the Book (part 8)"
190,"tional industries. By providing farmers with AI-driven insights, the system has shown potential to increase crop yields, reduce water usage, and optimize resource allocation. Looking forward, the FarmBeats approach could be extended to address global challenges in food security and sustainable agriculture. The success of this system also highlights the growing importance of edge and embedded ML in IoT applications, where bringing intelligence closer to the data source can lead to more responsive","1.9.1 FarmBeats: ML in Agriculture (part 9)"
191,", efficient, and scalable solutions. As edge computing capabilities continue to advance, we can expect to see similar distributed ML architectures applied to other domains, from smart cities to environmental monitoring.","1.9.1 FarmBeats: ML in Agriculture (part 10)"
192,"AlphaFold, developed by DeepMind, is a landmark achievement in the application of machine learning to complex scientific problems. This AI system is designed to predict the three-dimensional structure of proteins, as shown in Figure 1.6, from their amino acid sequences, a challenge known as the “protein folding problem” that has puzzled scientists for decades. AlphaFold’s success demonstrates how large-scale ML systems can accelerate scientific discovery and potentially revolutionize fields like","1.9.2 AlphaFold: Scientific ML (part 1)"
193,"structural biology and drug design. This case study exemplifies the use of advanced ML techniques and massive computational resources to tackle problems at the frontiers of science.Figure 1.6: Examples of protein targets within the free modeling category. Source: Google DeepMindData ConsiderationsThe data underpinning AlphaFold’s success is vast and multifaceted. The primary dataset is the Protein Data Bank (PDB), which contains the experimentally determined structures of over 180,000 prot","1.9.2 AlphaFold: Scientific ML (part 2)"
194,"eins. This is complemented by databases of protein sequences, which number in the hundreds of millions. AlphaFold also utilizes evolutionary data in the form of multiple sequence alignments (MSAs), which provide insights into the conservation patterns of amino acids across related proteins. The challenge lies not just in the volume of data, but in its quality and representation. Experimental protein structures can contain errors or be incomplete, requiring sophisticated data cleaning and validat","1.9.2 AlphaFold: Scientific ML (part 3)"
195,"ion processes. Moreover, the representation of protein structures and sequences in a form amenable to machine learning is a significant challenge in itself. AlphaFold’s data pipeline involves complex preprocessing steps to convert raw sequence and structural data into meaningful features that capture the physical and chemical properties relevant to protein folding.Algorithmic ConsiderationsAlphaFold’s algorithmic approach represents a tour de force in the application of deep learning to scien","1.9.2 AlphaFold: Scientific ML (part 4)"
196,"tific problems. At its core, AlphaFold uses a novel neural network architecture that combines with techniques from computational biology. The model learns to predict inter-residue distances and torsion angles, which are then used to construct a full 3D protein structure. A key innovation is the use of “equivariant attention” layers that respect the symmetries inherent in protein structures. The learning process involves multiple stages, including initial “pretraining” on a large corpus of protei","1.9.2 AlphaFold: Scientific ML (part 5)"
197,"n sequences, followed by fine-tuning on known structures. AlphaFold also incorporates domain knowledge in the form of physics-based constraints and scoring functions, creating a hybrid system that leverages both data-driven learning and scientific prior knowledge. The model’s ability to generate accurate confidence estimates for its predictions is crucial, allowing researchers to assess the reliability of the predicted structures.","1.9.2 AlphaFold: Scientific ML (part 6)"
198,"Infrastructure ConsiderationsThe computational demands of AlphaFold epitomize the challenges of large-scale scientific ML systems. Training the model requires massive parallel computing resources, leveraging clusters of GPUs or TPUs (Tensor Processing Units) in a distributed computing environment. DeepMind utilized Google’s cloud infrastructure, with the final version of AlphaFold trained on 128 TPUv3 cores for several weeks.","1.9.2 AlphaFold: Scientific ML (part 7)"
199,"The inference process, while less computationally intensive than training, still requires significant resources, especially when predicting structures for large proteins or processing many proteins in parallel. To make AlphaFold more accessible to the scientific community, DeepMind has collaborated with the European Bioinformatics Institute to create a public database of predicted protein structures, which itself represents a substantial computing and data management challenge.","1.9.2 AlphaFold: Scientific ML (part 8)"
2,"Author’s NoteAI is bound to transform the world in profound ways, much like computers and the Internet revolutionized every aspect of society in the 20th century. From systems that generate creative content to those driving breakthroughs in drug discovery, AI is ushering in a new era—one that promises to be even more transformative in its scope and impact. But how do we make it accessible to everyone?","Author’s Note (part 1)"
20,"one:The Essentials (Chapters 1-4) Core principles, components, and architectures that underpin machine learning systems.Engineering Principles (Chapters 5-13) Covers workflows, data engineering, optimization strategies, and operational challenges in system design.AI Best Practice (Chapters 14-18) Focuses on key considerations for deploying AI systems in real-world environments, including security, privacy, robustness, and sustainability.","About the Book (part 9)"
200,"This infrastructure allows researchers worldwide to access AlphaFold’s predictions without needing to run the model themselves, demonstrating how centralized, high-performance computing resources can be leveraged to democratize access to advanced ML capabilities.Future ImplicationsAlphaFold’s impact on structural biology has been profound, with the potential to accelerate research in areas ranging from fundamental biology to drug discovery.","1.9.2 AlphaFold: Scientific ML (part 9)"
201,"By providing accurate structural predictions for proteins that have resisted experimental methods, AlphaFold opens new avenues for understanding disease mechanisms and designing targeted therapies. The success of AlphaFold also serves as a powerful demonstration of how ML can be applied to other complex scientific problems, potentially leading to breakthroughs in fields like materials science or climate modeling.","1.9.2 AlphaFold: Scientific ML (part 10)"
202,"However, it also raises important questions about the role of AI in scientific discovery and the changing nature of scientific inquiry in the age of large-scale ML systems. As we look to the future, the AlphaFold approach suggests a new paradigm for scientific ML, where massive computational resources are combined with domain-specific knowledge to push the boundaries of human understanding.","1.9.2 AlphaFold: Scientific ML (part 11)"
203,"Waymo, a subsidiary of Alphabet Inc., stands at the forefront of autonomous vehicle technology, representing one of the most ambitious applications of machine learning systems to date. Evolving from the Google Self-Driving Car Project initiated in 2009, Waymo’s approach to autonomous driving exemplifies how ML systems can span the entire spectrum from embedded systems to cloud infrastructure. This case study demonstrates the practical implementation of complex ML systems in a safety-critical, re","1.9.3 Autonomous Vehicles and ML (part 1)"
204,"al-world environment, integrating real-time decision-making with long-term learning and adaptation.Data ConsiderationsThe data ecosystem underpinning Waymo’s technology is vast and dynamic. Each vehicle serves as a roving data center, its sensor suite—comprising LiDAR, radar, and high-resolution cameras—generating approximately one terabyte of data per hour of driving. This real-world data is complemented by an even more extensive simulated dataset, with Waymo’s vehicles having traversed over","1.9.3 Autonomous Vehicles and ML (part 2)"
205,"20 billion miles in simulation and more than 20 million miles on public roads. The challenge lies not just in the volume of data, but in its heterogeneity and the need for real-time processing. Waymo must handle both structured (e.g., GPS coordinates) and unstructured data (e.g., camera images) simultaneously. The data pipeline spans from edge processing on the vehicle itself to massive cloud-based storage and processing systems.","1.9.3 Autonomous Vehicles and ML (part 3)"
206,"Sophisticated data cleaning and validation processes are necessary, given the safety-critical nature of the application. Moreover, the representation of the vehicle’s environment in a form amenable to machine learning presents significant challenges, requiring complex preprocessing to convert raw sensor data into meaningful features that capture the dynamics of traffic scenarios.Algorithmic ConsiderationsWaymo’s ML stack represents a sophisticated ensemble of algorithms tailored to the multi","1.9.3 Autonomous Vehicles and ML (part 4)"
207,"faceted challenge of autonomous driving. The perception system employs deep learning techniques, including convolutional neural networks, to process visual data for object detection and tracking. Prediction models, needed for anticipating the behavior of other road users, leverage recurrent neural networks (RNNs) to understand temporal sequences. Waymo has developed custom ML models like VectorNet for predicting vehicle trajectories.","1.9.3 Autonomous Vehicles and ML (part 5)"
208,"The planning and decision-making systems may incorporate reinforcement learning or imitation learning techniques to navigate complex traffic scenarios. A key innovation in Waymo’s approach is the integration of these diverse models into a coherent system capable of real-time operation. The ML models must also be interpretable to some degree, as understanding the reasoning behind a vehicle’s decisions is vital for safety and regulatory compliance.","1.9.3 Autonomous Vehicles and ML (part 6)"
209,"Waymo’s learning process involves continuous refinement based on real-world driving experiences and extensive simulation, creating a feedback loop that constantly improves the system’s performance.Infrastructure ConsiderationsThe computing infrastructure supporting Waymo’s autonomous vehicles epitomizes the challenges of deploying ML systems across the full spectrum from edge to cloud. Each vehicle is equipped with a custom-designed compute platform capable of processing sensor data and maki","1.9.3 Autonomous Vehicles and ML (part 7)"
21,"Closing Perspectives (Chapter 19-20) Synthesizes key lessons and explores emerging trends shaping the future of ML systems.Suggested Reading PathsBeginners: Start with The Essentials to build a strong conceptual base before progressing to other parts.Practitioners: Focus on Engineering Principles and AI in Practice for hands-on, real-world insights.Researchers: Dive into AI in Practice and Closing Perspectives to explore advanced topics and societal implications.","About the Book (part 10)"
210,"ng decisions in real-time, often leveraging specialized hardware like GPUs or tensor processing units (TPUs). This edge computing is complemented by extensive use of cloud infrastructure, leveraging the power of Google’s data centers for training models, running large-scale simulations, and performing fleet-wide learning. The connectivity between these tiers is critical, with vehicles requiring reliable, high-bandwidth communication for real-time updates and data uploading.","1.9.3 Autonomous Vehicles and ML (part 8)"
211,"Waymo’s infrastructure must be designed for robustness and fault tolerance, ensuring safe operation even in the face of hardware failures or network disruptions. The scale of Waymo’s operation presents significant challenges in data management, model deployment, and system monitoring across a geographically distributed fleet of vehicles.Future ImplicationsWaymo’s impact extends beyond technological advancement, potentially revolutionizing transportation, urban planning, and numerous aspects","1.9.3 Autonomous Vehicles and ML (part 9)"
212,"of daily life. The launch of Waymo One, a commercial ride-hailing service using autonomous vehicles in Phoenix, Arizona, represents a significant milestone in the practical deployment of AI systems in safety-critical applications. Waymo’s progress has broader implications for the development of robust, real-world AI systems, driving innovations in sensor technology, edge computing, and AI safety that have applications far beyond the automotive industry.","1.9.3 Autonomous Vehicles and ML (part 10)"
213,"However, it also raises important questions about liability, ethics, and the interaction between AI systems and human society. As Waymo continues to expand its operations and explore applications in trucking and last-mile delivery, it serves as an important test bed for advanced ML systems, driving progress in areas such as continual learning, robust perception, and human-AI interaction. The Waymo case study underscores both the tremendous potential of ML systems to transform industries and the","1.9.3 Autonomous Vehicles and ML (part 11)"
214,"complex challenges involved in deploying AI in the real world.","1.9.3 Autonomous Vehicles and ML (part 12)"
215,"Building and deploying machine learning systems presents unique challenges that go beyond traditional software development. These challenges help explain why creating effective ML systems is about more than just choosing the right algorithm or collecting enough data. Let’s explore the key areas where ML practitioners face significant hurdles.","1.10 Challenges in ML Systems"
216,"The foundation of any ML system is its data, and managing this data introduces several fundamental challenges. First, there’s the basic question of data quality—real-world data is often messy and inconsistent. Imagine a healthcare application that needs to process patient records from different hospitals. Each hospital might record information differently, use different units of measurement, or have different standards for what data to collect.","1.10.1 Data-Related Challenges (part 1)"
217,"Some records might have missing information, while others might contain errors or inconsistencies that need to be cleaned up before the data can be useful.As ML systems grow, they often need to handle increasingly large amounts of data. A video streaming service like Netflix, for example, needs to process billions of viewer interactions to power its recommendation system. This scale introduces new challenges in how to store, process, and manage such large datasets efficiently.","1.10.1 Data-Related Challenges (part 2)"
218,"Another critical challenge is how data changes over time. This phenomenon, known as “data drift”, occurs when the patterns in new data begin to differ from the patterns the system originally learned from. For example, many predictive models struggled during the COVID-19 pandemic because consumer behavior changed so dramatically that historical patterns became less relevant. ML systems need ways to detect when this happens and adapt accordingly.","1.10.1 Data-Related Challenges (part 3)"
219,"Creating and maintaining the ML models themselves presents another set of challenges. Modern ML models, particularly in deep learning, can be extremely complex. Consider a language model like GPT-3, which has hundreds of billions of parameters that need to be optimized through backpropagation. This complexity creates practical challenges: these models require enormous computing power to train and run, making it difficult to deploy them in situations with limited resources, like on mobile phones","1.10.2 Model-Related Challenges (part 1)"
22,"Modular DesignThe book is modular, allowing readers to explore chapters independently or sequentially. Each chapter includes supplementary resources:Slides summarizing key concepts.Videos providing in-depth explanations.Exercises reinforcing understanding.Labs offering practical, hands-on experience.While several of these resources are still a work in progress, we believe it’s better to share valuable insights and tools as they become available rather than wait for everything to be","About the Book (part 11)"
220,"or IoT devices.Training these models effectively is itself a significant challenge. Unlike traditional programming where we write explicit instructions, ML models learn from examples through techniques like transfer learning. This learning process involves many choices: How should we structure the model? How long should we train it? How can we tell if it’s learning the right things? Making these decisions often requires both technical expertise and considerable trial and error.","1.10.2 Model-Related Challenges (part 2)"
221,"A particularly important challenge is ensuring that models work well in real-world conditions. A model might perform excellently on its training data but fail when faced with slightly different situations in the real world. This gap between training performance and real-world performance is a central challenge in machine learning, especially for critical applications like autonomous vehicles or medical diagnosis systems.","1.10.2 Model-Related Challenges (part 3)"
222,"Getting ML systems to work reliably in the real world introduces its own set of challenges. Unlike traditional software that follows fixed rules, ML systems need to handle uncertainty and variability in their inputs and outputs. They also typically need both training systems (for learning from data) and serving systems (for making predictions), each with different requirements and constraints.Consider a company building a speech recognition system.","1.10.3 System-Related Challenges (part 1)"
223,"They need infrastructure to collect and store audio data, systems to train models on this data, and then separate systems to actually process users’ speech in real-time. Each part of this pipeline needs to work reliably and efficiently, and all the parts need to work together seamlessly.These systems also need constant monitoring and updating. How do we know if the system is working correctly? How do we update models without interrupting service? How do we handle errors or unexpected inputs?","1.10.3 System-Related Challenges (part 2)"
224,"These operational challenges become particularly complex when ML systems are serving millions of users.","1.10.3 System-Related Challenges (part 3)"
225,"As ML systems become more prevalent in our daily lives, their broader impacts on society become increasingly important to consider. One major concern is fairness—ML systems can sometimes learn to make decisions that discriminate against certain groups of people. This often happens unintentionally, as the systems pick up biases present in their training data. For example, a job application screening system might inadvertently learn to favor certain demographics if those groups were historically m","1.10.4 Ethical Considerations (part 1)"
226,"ore likely to be hired.Another important consideration is transparency. Many modern ML models, particularly deep learning models, work as “black boxes”—while they can make predictions, it’s often difficult to understand how they arrived at their decisions. This becomes particularly problematic when ML systems are making important decisions about people’s lives, such as in healthcare or financial services.Privacy is also a major concern.","1.10.4 Ethical Considerations (part 2)"
227,"ML systems often need large amounts of data to work effectively, but this data might contain sensitive personal information. How do we balance the need for data with the need to protect individual privacy? How do we ensure that models don’t inadvertently memorize and reveal private information through inference attacks? These challenges aren’t merely technical problems to be solved, but ongoing considerations that shape how we approach ML system design and deployment.","1.10.4 Ethical Considerations (part 3)"
228,"These challenges aren’t merely technical problems to be solved, but ongoing considerations that shape how we approach ML system design and deployment. Throughout this book, we’ll explore these challenges in detail and examine strategies for addressing them effectively.","1.10.4 Ethical Considerations (part 4)"
229,"As we look to the future of machine learning systems, several exciting trends are shaping the field. These developments promise to both solve existing challenges and open new possibilities for what ML systems can achieve.One of the most significant trends is the democratization of AI technology. Just as personal computers transformed computing from specialized mainframes to everyday tools, ML systems are becoming more accessible to developers and organizations of all sizes.","1.11 Looking Ahead (part 1)"
23,"as including security, privacy, and reliability. While ML applications and tools evolve rapidly, the engineering principles for building ML systems remain largely consistent. This book distills these enduring concepts, making it a resource for anyone seeking to build flexible, efficient, and robust ML systems.🎙 Listen to the AI Podcast, created using Google’s Notebook LM and inspired by insights drawn from our IEEE education viewpoint paper.","preface (part 3)"
230,"Cloud providers now offer pre-trained models and automated ML platforms that reduce the expertise needed to deploy AI solutions. This democratization is enabling new applications across industries, from small businesses using AI for customer service to researchers applying ML to previously intractable problems.As concerns about computational costs and environmental impact grow, there’s an increasing focus on making ML systems more efficient.","1.11 Looking Ahead (part 2)"
231,"Researchers are developing new techniques for training models with less data and computing power. Innovation in specialized hardware, from improved GPUs to custom AI chips, is making ML systems faster and more energy-efficient. These advances could make sophisticated AI capabilities available on more devices, from smartphones to IoT sensors.Perhaps the most transformative trend is the development of more autonomous ML systems that can adapt and improve themselves.","1.11 Looking Ahead (part 3)"
232,"These systems are beginning to handle their own maintenance tasks—detecting when they need retraining, automatically finding and correcting errors, and optimizing their own performance. This automation could dramatically reduce the operational overhead of running ML systems while improving their reliability.While these trends are promising, it’s important to recognize the field’s limitations. Creating truly artificial general intelligence remains a distant goal.","1.11 Looking Ahead (part 4)"
233,"Current ML systems excel at specific tasks but lack the flexibility and understanding that humans take for granted. Challenges around bias, transparency, and privacy continue to require careful consideration. As ML systems become more prevalent, addressing these limitations while leveraging new capabilities will be crucial.","1.11 Looking Ahead (part 5)"
234,"This book is designed to guide you from understanding the fundamentals of ML systems to effectively designing and implementing them. To address the complexities and challenges of Machine Learning Systems engineering, we’ve organized the content around five fundamental pillars that encompass the lifecycle of ML systems. These pillars provide a framework for understanding, developing, and maintaining robust ML systems.Figure 1.","1.12 Book Structure and Learning Path (part 1)"
235,"7: Overview of the five fundamental system pillars of Machine Learning Systems engineering.As illustrated in Figure 1.7, the five pillars central to the framework are:Data: Emphasizing data engineering and foundational principles critical to how AI operates in relation to data.Training: Exploring the methodologies for AI training, focusing on efficiency, optimization, and acceleration techniques to enhance model performance.","1.12 Book Structure and Learning Path (part 2)"
236,"Deployment: Encompassing benchmarks, on-device learning strategies, and machine learning operations to ensure effective model application.Operations: Highlighting the maintenance challenges unique to machine learning systems, which require specialized approaches distinct from traditional engineering systems.Ethics & Governance: Addressing concerns such as security, privacy, responsible AI practices, and the broader societal implications of AI technologies.","1.12 Book Structure and Learning Path (part 3)"
237,"Each pillar represents a critical phase in the lifecycle of ML systems and is composed of foundational elements that build upon each other. This structure ensures a comprehensive understanding of MLSE, from basic principles to advanced applications and ethical considerations.For more detailed information about the book’s overview, contents, learning outcomes, target audience, prerequisites, and navigation guide, please refer to the About the Book section.","1.12 Book Structure and Learning Path (part 4)"
238,"There, you’ll also find valuable details about our learning community and how to maximize your experience with this resource.","1.12 Book Structure and Learning Path (part 5)"
24,"perfect. After all, progress is far more important than perfection, and your feedback will help us improve and refine this resource over time.Additionally, we try to reuse and build upon the incredible work created by amazing experts in the field, rather than reinventing everything from scratch. This philosophy reflects the fundamental essence of community-driven learning: collaboration, sharing knowledge, and collectively advancing our understanding.","About the Book (part 12)"
25,"Transparency and CollaborationThis book is a community-driven project, with content generated collaboratively by numerous contributors over time. The content creation process may have involved various editing tools, including generative AI technology. As the main author, editor, and curator, Prof. Vijay Janapa Reddi maintains human oversight to ensure the content is accurate and relevant.However, no one is perfect, and inaccuracies may still exist.","About the Book (part 13)"
26,"Your feedback is highly valued, and we encourage you to provide corrections or suggestions. This collaborative approach is crucial for maintaining high-quality information and making it globally accessible.Copyright and LicensingThis book is open-source and developed collaboratively through GitHub. Unless otherwise stated, this work is licensed under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0).","About the Book (part 14)"
27,"Contributors retain copyright over their individual contributions, dedicated to the public domain or released under the same open license as the original project. For more information on authorship and contributions, visit the GitHub repository.Join the CommunityThis textbook is more than just a resource—it’s an invitation to collaborate and learn together. Engage in community discussions to share insights, tackle challenges, and learn alongside fellow students, researchers, and practitione","About the Book (part 15)"
28,"rs.Whether you’re a student starting your journey, a practitioner solving real-world challenges, or a researcher exploring advanced concepts, your contributions will enrich this learning community. Introduce yourself, share your goals, and let’s collectively build a deeper understanding of machine learning systems.","About the Book (part 16)"
29,"Book ChangelogThis Machine Learning Systems textbook is constantly evolving. This changelog automatically records all updates and improvements, helping you stay informed about what’s new and refined.Last Updated: May 14, 20252025 Changes📅 Published on May 14, 2025🔗 View Full Diff — 1 files updated (39 lines added, 41 lines removed)Minor UpdatesOndevice Learning: ++— (39 lines added, 41 lines removed)📅 Published on May 14, 2025🔗 View Full Diff — 1 files updated (647 lines added, 5","Book Changelog (part 1)"
3,"With its transformative power comes an equally great responsibility for those who access it or work with it. Just as we expect companies to wield their influence ethically, those of us in academia bear a parallel responsibility: to share our knowledge openly, so it benefits everyone—not just a select few. This conviction inspired the creation of this book—an open-source resource aimed at making AI education, particularly in AI engineering, and systems, inclusive, and accessible to everyone fro","Author’s Note (part 2)"
30,"7 lines removed)Major Updates📅 Published on May 04, 2025🔗 View Full Diff — 37 files updated (7185 lines added, 3152 lines removed)Major UpdatesMinor Updates📅 Published on Mar 25, 2025🔗 View Full Diff — 2 files updated (4 lines added, 1 lines removed)Minor Updates📅 Published on Mar 26, 2025🔗 View Full Diff — 40 files updated (12616 lines added, 7370 lines removed)Major UpdatesMinor Updates📅 Published on Mar 03, 2025🔗 View Full Diff — 31 files updated (12032 lines added,","Book Changelog (part 2)"
31,"7337 lines removed)Major UpdatesMinor Updates📅 Published on Feb 08, 2025🔗 View Full Diff — 2 files updated (31 lines added, 29 lines removed)Minor Updates📅 Published on Feb 07, 2025🔗 View Full Diff — 46 files updated (4644 lines added, 3807 lines removed)Major UpdatesMinor Updates📅 Published on Feb 02, 2025🔗 View Full Diff — 20 files updated (2076 lines added, 1555 lines removed)Major UpdatesMinor Updates📅 Published on Jan 28, 2025🔗 View Full Diff — 1 files updated (52","Book Changelog (part 3)"
32,"lines added, 52 lines removed)Minor Updates📅 Published on Jan 28, 2025🔗 View Full Diff — 16 files updated (4127 lines added, 2219 lines removed)Major UpdatesMinor Updates📅 Published on Jan 17, 2025🔗 View Full Diff — 12 files updated (1976 lines added, 1477 lines removed)Major UpdatesMinor Updates📅 Published on Jan 12, 2025🔗 View Full Diff — 5 files updated (221 lines added, 253 lines removed)Major UpdatesMinor Updates📅 Published on Jan 11, 2025🔗 View Full Diff — 4 fil","Book Changelog (part 4)"
33,"es updated (154 lines added, 103 lines removed)Minor Updates📅 Published on Jan 11, 2025🔗 View Full Diff — 5 files updated (907 lines added, 535 lines removed)Major UpdatesMinor Updates📅 Published on Jan 09, 2025🔗 View Full Diff — 8 files updated (56 lines added, 58 lines removed)Minor Updates📅 Published on Jan 07, 2025🔗 View Full Diff — 5 files updated (254 lines added, 149 lines removed)Minor Updates📅 Published on Jan 03, 2025🔗 View Full Diff — 7 files updated (38 lines","Book Changelog (part 5)"
34,"This podcast provides an accessible overview of what this book is all about.  PrefaceCover image.Welcome to Machine Learning Systems, your gateway to the fast-paced world of machine learning (ML) systems. This book is an extension of the CS249r course at Harvard University, taught by Prof. Vijay Janapa Reddi, and is the result of a collaborative effort involving students, professionals, and the broader community of AI practitioners.","preface (part 4)"
35,"added, 36 lines removed)Minor Updates📅 Published on Jan 02, 2025🔗 View Full Diff — 4 files updated (66 lines added, 127 lines removed)Minor Updates📅 Published on Jan 01, 2025🔗 View Full Diff — 45 files updated (8282 lines added, 4753 lines removed)Major UpdatesMinor Updates2024 Changes📅 Published on Nov 19, 2024🔗 View Full Diff — 2 files updated (74 lines added, 65 lines removed)Minor Updates📅 Published on Nov 19, 2024🔗 View Full Diff — 6 files updated (474 lines added","Book Changelog (part 6)"
36,", 331 lines removed)Major UpdatesMinor Updates📅 Published on Nov 16, 2024🔗 View Full Diff — 4 files updated (502 lines added, 106 lines removed)Major UpdatesMinor Updates📅 Published on Nov 15, 2024🔗 View Full Diff — 35 files updated (74 lines added, 162 lines removed)Minor Updates📅 Published on Nov 15, 2024🔗 View Full Diff — 86 files updated (3636 lines added, 1991 lines removed)Major UpdatesMinor Updates📅 Published on Sep 20, 2024🔗 View Full Diff — 1 files updated (1","Book Changelog (part 7)"
37,"lines added, 1 lines removed)Minor Updates📅 Published on Sep 20, 2024🔗 View Full Diff — 43 files updated (4718 lines added, 3227 lines removed)Major UpdatesMinor Updates📅 Published on Sep 12, 2024🔗 View Full Diff — 7 files updated (1561 lines added, 86 lines removed)Major UpdatesMinor Updates📅 Published on Sep 06, 2024🔗 View Full Diff — 1 files updated (8 lines added, 10 lines removed)Minor Updates📅 Published on Sep 04, 2024🔗 View Full Diff — 20 files updated (78 lines","Book Changelog (part 8)"
38,"added, 82 lines removed)Minor Updates📅 Published on Sep 02, 2024🔗 View Full Diff — 5 files updated (218 lines added, 179 lines removed)Minor Updates📅 Published on Aug 29, 2024🔗 View Full Diff — 5 files updated (1568 lines added, 34 lines removed)Major UpdatesMinor Updates📅 Published on Aug 27, 2024🔗 View Full Diff — 10 files updated (225 lines added, 245 lines removed)Major UpdatesMinor Updates📅 Published on Aug 22, 2024🔗 View Full Diff — 6 files updated (14 lines added","Book Changelog (part 9)"
39,", 21 lines removed)Minor Updates📅 Published on Aug 21, 2024🔗 View Full Diff — 18 files updated (720 lines added, 1217 lines removed)Major UpdatesMinor Updates📅 Published on Aug 15, 2024🔗 View Full Diff — 3 files updated (3 lines added, 6 lines removed)Minor Updates📅 Published on Aug 15, 2024🔗 View Full Diff — 22 files updated (363 lines added, 239 lines removed)Minor Updates📅 Published on Aug 15, 2024🔗 View Full Diff — 3 files updated (188 lines added, 164 lines removed)","Book Changelog (part 10)"
4,"m all walks of life.My passion for creating, curating, and editing this content has been deeply influenced by landmark textbooks that have profoundly shaped both my academic and personal journey. Whether I studied them cover to cover or drew insights from key passages, these resources fundamentally shaped the way I think. I reflect on the books that guided my path: works by Turing Award winners such as David Patterson and John Hennessy—pioneers in computer architecture and system design—and fo","Author’s Note (part 3)"
